year,hcb,ppddt,ppdde,betahch,gammahch,pcb138
1996,13.92,0.277778,11.3816,1.56247,1.95944,34.7687
1997,17.43,0.347222,30.5358,3.22181,6.6959,32.0628
1998,11.33,0.208333,13.9187,1.78744,4.47288,33.0459
1999,4.84,1.94444,11.6093,1.75933,2.45271,35.8764
2000,10.31,5.20833,9.30065,2.69996,4.68911,23.3226
2001,3.43,2.15278,9.26802,1.54684,4.15534,16.9231
2002,3.02,2.22222,13.1382,1.45622,7.20262,14.2153
2003,4.96,2.56944,10.8295,1.89685,1.39862,14.2773
2004,2.78,3.33333,9.82089,0.712521,2.21626,12.7982
2006,2.18,3.05556,8.48784,0.778118,1.00674,12.2455
2008,2.16,3.19444,8.12962,0.5625,2.49983,11.9992
