Year,HCB,ppDDT,ppDDE,betaHCH,gammaHCH,PCB138
1996,0.014,0.00028,0.01,0.0016,0.00,0.0347687
1997,0.017,0.00035,0.03,0.0032,0.01,0.0320628
1998,0.011,0.00021,0.01,0.0018,0.00,0.0330459
1999,0.005,0.00194,0.01,0.0018,0.00,0.0358764
2000,0.010,0.00521,0.01,0.0027,0.00,0.0233226
2001,0.003,0.00215,0.01,0.0015,0.00,0.0169231
2002,0.003,0.00222,0.01,0.0015,0.01,0.0142153
2003,0.005,0.00257,0.01,0.0019,0.00,0.0142773
2004,0.003,0.00333,0.01,0.0007,0.00,0.0127982
2005,,,,,,
2006,0.002,0.00306,0.01,0.0008,0.00,0.0122455
2007,,,,,,
2008,0.002,0.00319,0.01,0.0006,0.00,0.0119992
